OBJECTID,scientific,family,date,OBJECTID_1,gno,Shape_Length,Shape_Area,geometry
23,Pygoluciola qingyu,Lampyridae,2024-5-27,453024,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
24,Pygoluciola qingyu,Lampyridae,2024-5-27,453025,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
25,Pygoluciola qingyu,Lampyridae,2024-5-27,453026,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
26,Pygoluciola qingyu,Lampyridae,2024-5-27,453027,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
27,Pygoluciola qingyu,Lampyridae,2024-5-27,453028,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
28,Pygoluciola qingyu,Lampyridae,2024-5-27,453029,1435,0.03748477161158434,8.770318378166683e-05,"[[[114.145134913, 22.409305105, 0], [114.145136961, 22.400274607, 0], [114.154848534, 22.400276219, 0], [114.154847114, 22.409306718, 0], [114.145134913, 22.409305105, 0]]]"
29,Pygoluciola qingyu,Lampyridae,2024-5-27,453030,1436,0.03748477325544732,8.770319149527433e-05,"[[[114.154847114, 22.409306718, 0], [114.154848534, 22.400276219, 0], [114.164560108, 22.400277248, 0], [114.164559315, 22.409307747, 0], [114.154847114, 22.409306718, 0]]]"
30,Pygoluciola qingyu,Lampyridae,2024-5-27,453031,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
31,Pygoluciola qingyu,Lampyridae,2024-5-27,453032,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
32,Pygoluciola qingyu,Lampyridae,2024-5-27,453033,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
33,Pygoluciola qingyu,Lampyridae,2024-5-27,453034,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
34,Pygoluciola qingyu,Lampyridae,2024-5-27,453035,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
35,Pygoluciola qingyu,Lampyridae,2024-5-27,453036,1366,0.03748600925595179,8.770876586660534e-05,"[[[114.154845692, 22.418337207, 0], [114.154847114, 22.409306718, 0], [114.164559315, 22.409307747, 0], [114.164558521, 22.418338237, 0], [114.154845692, 22.418337207, 0]]]"
36,Pygoluciola qingyu,Lampyridae,2024-5-17,453037,1295,0.03748724061285462,8.771431794386371e-05,"[[[114.145130814, 22.427366071, 0], [114.145132864, 22.418335593, 0], [114.154845692, 22.418337207, 0], [114.15484427, 22.427367685, 0], [114.145130814, 22.427366071, 0]]]"
37,Pygoluciola qingyu,Lampyridae,2024-5-17,453038,1295,0.03748724061285462,8.771431794386371e-05,"[[[114.145130814, 22.427366071, 0], [114.145132864, 22.418335593, 0], [114.154845692, 22.418337207, 0], [114.15484427, 22.427367685, 0], [114.145130814, 22.427366071, 0]]]"
38,Pygoluciola qingyu,Lampyridae,2024-5-17,453039,1295,0.03748724061285462,8.771431794386371e-05,"[[[114.145130814, 22.427366071, 0], [114.145132864, 22.418335593, 0], [114.154845692, 22.418337207, 0], [114.15484427, 22.427367685, 0], [114.145130814, 22.427366071, 0]]]"
39,Pygoluciola qingyu,Lampyridae,2024-5-29,453040,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
40,Pygoluciola qingyu,Lampyridae,2024-5-27,453041,1505,0.037483536610915524,8.769761425330647e-05,"[[[114.145136961, 22.400274607, 0], [114.145139008, 22.391244099, 0], [114.154849954, 22.39124571, 0], [114.154848534, 22.400276219, 0], [114.145136961, 22.400274607, 0]]]"
41,Pygoluciola qingyu,Lampyridae,2024-5-27,453042,1505,0.037483536610915524,8.769761425330647e-05,"[[[114.145136961, 22.400274607, 0], [114.145139008, 22.391244099, 0], [114.154849954, 22.39124571, 0], [114.154848534, 22.400276219, 0], [114.145136961, 22.400274607, 0]]]"
42,Pygoluciola qingyu,Lampyridae,2024-5-17,453043,1295,0.03748724061285462,8.771431794386371e-05,"[[[114.145130814, 22.427366071, 0], [114.145132864, 22.418335593, 0], [114.154845692, 22.418337207, 0], [114.15484427, 22.427367685, 0], [114.145130814, 22.427366071, 0]]]"
43,Pygoluciola qingyu,Lampyridae,2024-4-12,453044,2413,0.03746753677221295,8.762545750597785e-05,"[[[114.125756602, 22.282872274, 0], [114.125759881, 22.273841637, 0], [114.1354627, 22.273844399, 0], [114.135460044, 22.282875036, 0], [114.125756602, 22.282872274, 0]]]"
44,Pygoluciola qingyu,Lampyridae,2024-4-12,453045,2413,0.03746753677221295,8.762545750597785e-05,"[[[114.125756602, 22.282872274, 0], [114.125759881, 22.273841637, 0], [114.1354627, 22.273844399, 0], [114.135460044, 22.282875036, 0], [114.125756602, 22.282872274, 0]]]"
45,Pygoluciola qingyu,Lampyridae,2024-4-12,453046,2413,0.03746753677221295,8.762545750597785e-05,"[[[114.125756602, 22.282872274, 0], [114.125759881, 22.273841637, 0], [114.1354627, 22.273844399, 0], [114.135460044, 22.282875036, 0], [114.125756602, 22.282872274, 0]]]"
46,Pygoluciola qingyu,Lampyridae,2024-4-12,453047,2413,0.03746753677221295,8.762545750597785e-05,"[[[114.125756602, 22.282872274, 0], [114.125759881, 22.273841637, 0], [114.1354627, 22.273844399, 0], [114.135460044, 22.282875036, 0], [114.125756602, 22.282872274, 0]]]"
47,Pygoluciola qingyu,Lampyridae,2024-4-12,453048,2413,0.03746753677221295,8.762545750597785e-05,"[[[114.125756602, 22.282872274, 0], [114.125759881, 22.273841637, 0], [114.1354627, 22.273844399, 0], [114.135460044, 22.282875036, 0], [114.125756602, 22.282872274, 0]]]"
48,Pygoluciola qingyu,Lampyridae,2024-4-15,453049,738,0.03749715501534169,8.775902908459515e-05,"[[[114.174269853, 22.499612635, 0], [114.17427002, 22.490582237, 0], [114.183987884, 22.490582099, 0], [114.183988347, 22.499612498, 0], [114.174269853, 22.499612635, 0]]]"
49,Pygoluciola qingyu,Lampyridae,2024-4-15,453050,808,0.03749591501544678,8.775343745292338e-05,"[[[114.17427002, 22.490582237, 0], [114.174270187, 22.481551828, 0], [114.18398742, 22.48155169, 0], [114.183987884, 22.490582099, 0], [114.17427002, 22.490582237, 0]]]"
50,Pygoluciola qingyu,Lampyridae,2024-4-15,453051,808,0.03749591501544678,8.775343745292338e-05,"[[[114.17427002, 22.490582237, 0], [114.174270187, 22.481551828, 0], [114.18398742, 22.48155169, 0], [114.183987884, 22.490582099, 0], [114.17427002, 22.490582237, 0]]]"
51,Pygoluciola qingyu,Lampyridae,2024-4-15,453052,808,0.03749591501544678,8.775343745292338e-05,"[[[114.17427002, 22.490582237, 0], [114.174270187, 22.481551828, 0], [114.18398742, 22.48155169, 0], [114.183987884, 22.490582099, 0], [114.17427002, 22.490582237, 0]]]"
52,Pygoluciola qingyu,Lampyridae,2024-4-15,453053,808,0.03749591501544678,8.775343745292338e-05,"[[[114.17427002, 22.490582237, 0], [114.174270187, 22.481551828, 0], [114.18398742, 22.48155169, 0], [114.183987884, 22.490582099, 0], [114.17427002, 22.490582237, 0]]]"
53,Pygoluciola qingyu,Lampyridae,2024-4-15,453054,878,0.03749467501547349,8.77478454648984e-05,"[[[114.174270187, 22.481551828, 0], [114.174270353, 22.472521409, 0], [114.183986957, 22.472521271, 0], [114.18398742, 22.48155169, 0], [114.174270187, 22.481551828, 0]]]"
54,Pygoluciola qingyu,Lampyridae,2024-4-15,453055,879,0.03749467413180474,8.774784149121286e-05,"[[[114.18398742, 22.48155169, 0], [114.183986957, 22.472521271, 0], [114.19370356, 22.472520547, 0], [114.193704653, 22.481550966, 0], [114.18398742, 22.48155169, 0]]]"
55,Pygoluciola qingyu,Lampyridae,2024-4-15,453056,809,0.03749591413204792,8.775343348075633e-05,"[[[114.183987884, 22.490582099, 0], [114.18398742, 22.48155169, 0], [114.193704653, 22.481550966, 0], [114.193705747, 22.490581375, 0], [114.183987884, 22.490582099, 0]]]"
56,Pygoluciola qingyu,Lampyridae,2024-4-15,453057,809,0.03749591413204792,8.775343348075633e-05,"[[[114.183987884, 22.490582099, 0], [114.18398742, 22.48155169, 0], [114.193704653, 22.481550966, 0], [114.193705747, 22.490581375, 0], [114.183987884, 22.490582099, 0]]]"
57,Pygoluciola qingyu,Lampyridae,2024-5-17,453058,1296,0.03748724325629465,8.771433017116967e-05,"[[[114.15484427, 22.427367685, 0], [114.154845692, 22.418337207, 0], [114.164558521, 22.418338237, 0], [114.164557727, 22.427368716, 0], [114.15484427, 22.427367685, 0]]]"
58,Pygoluciola qingyu,Lampyridae,2024-5-17,453059,1296,0.03748724325629465,8.771433017116967e-05,"[[[114.15484427, 22.427367685, 0], [114.154845692, 22.418337207, 0], [114.164558521, 22.418338237, 0], [114.164557727, 22.427368716, 0], [114.15484427, 22.427367685, 0]]]"
59,Pygoluciola qingyu,Lampyridae,2024-5-17,453060,1296,0.03748724325629465,8.771433017116967e-05,"[[[114.15484427, 22.427367685, 0], [114.154845692, 22.418337207, 0], [114.164558521, 22.418338237, 0], [114.164557727, 22.427368716, 0], [114.15484427, 22.427367685, 0]]]"
60,Pygoluciola qingyu,Lampyridae,2024-5-17,453061,1296,0.03748724325629465,8.771433017116967e-05,"[[[114.15484427, 22.427367685, 0], [114.154845692, 22.418337207, 0], [114.164558521, 22.418338237, 0], [114.164557727, 22.427368716, 0], [114.15484427, 22.427367685, 0]]]"
61,Pygoluciola qingyu,Lampyridae,2024-5-3,453062,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
62,Pygoluciola qingyu,Lampyridae,2024-5-3,453063,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
63,Pygoluciola qingyu,Lampyridae,2024-5-3,453064,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
64,Pygoluciola qingyu,Lampyridae,2024-5-3,453065,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
65,Pygoluciola qingyu,Lampyridae,2024-5-3,453066,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
66,Pygoluciola qingyu,Lampyridae,2024-5-3,453067,1498,0.03748348950224083,8.76973943377776e-05,"[[[114.077155999, 22.400246987, 0], [114.077162436, 22.391216492, 0], [114.086873367, 22.391222185, 0], [114.086867557, 22.400252683, 0], [114.077155999, 22.400246987, 0]]]"
67,Pygoluciola qingyu,Lampyridae,2024-5-3,453068,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
68,Pygoluciola qingyu,Lampyridae,2024-5-3,453069,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
69,Pygoluciola qingyu,Lampyridae,2024-5-3,453070,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
70,Pygoluciola qingyu,Lampyridae,2024-5-3,453071,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
71,Pygoluciola qingyu,Lampyridae,2024-5-3,453072,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
72,Pygoluciola qingyu,Lampyridae,2024-5-3,453073,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
73,Pygoluciola qingyu,Lampyridae,2024-5-3,453074,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
74,Pygoluciola qingyu,Lampyridae,2024-5-3,453075,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
75,Pygoluciola qingyu,Lampyridae,2024-5-3,453076,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
76,Pygoluciola qingyu,Lampyridae,2024-5-3,453077,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
77,Pygoluciola qingyu,Lampyridae,2024-5-3,453078,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
78,Pygoluciola qingyu,Lampyridae,2024-5-3,453079,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
79,Pygoluciola qingyu,Lampyridae,2024-5-3,453080,1567,0.037482247106799926,8.769179027720545e-05,"[[[114.067451508, 22.391210216, 0], [114.067458569, 22.382179713, 0], [114.07716887, 22.382185986, 0], [114.077162436, 22.391216492, 0], [114.067451508, 22.391210216, 0]]]"
80,Pygoluciola qingyu,Lampyridae,2024-5-29,453081,1241,0.03748839782700333,8.771952405007591e-05,"[[[114.300554032, 22.43635226, 0], [114.300546029, 22.427321811, 0], [114.310259459, 22.42731408, 0], [114.310268091, 22.436344526, 0], [114.300554032, 22.43635226, 0]]]"
81,Pygoluciola qingyu,Lampyridae,2024-5-29,453082,1240,0.03748840981912499,8.77195799665322e-05,"[[[114.29083997, 22.43635941, 0], [114.290832594, 22.427328958, 0], [114.300546029, 22.427321811, 0], [114.300554032, 22.43635226, 0], [114.29083997, 22.43635941, 0]]]"
82,Pygoluciola qingyu,Lampyridae,2024-5-29,453083,1240,0.03748840981912499,8.77195799665322e-05,"[[[114.29083997, 22.43635941, 0], [114.290832594, 22.427328958, 0], [114.300546029, 22.427321811, 0], [114.300554032, 22.43635226, 0], [114.29083997, 22.43635941, 0]]]"
83,Pygoluciola qingyu,Lampyridae,2024-5-29,453084,1240,0.03748840981912499,8.77195799665322e-05,"[[[114.29083997, 22.43635941, 0], [114.290832594, 22.427328958, 0], [114.300546029, 22.427321811, 0], [114.300554032, 22.43635226, 0], [114.29083997, 22.43635941, 0]]]"
84,Pygoluciola qingyu,Lampyridae,2024-5-29,453085,1240,0.03748840981912499,8.77195799665322e-05,"[[[114.29083997, 22.43635941, 0], [114.290832594, 22.427328958, 0], [114.300546029, 22.427321811, 0], [114.300554032, 22.43635226, 0], [114.29083997, 22.43635941, 0]]]"
85,Pygoluciola qingyu,Lampyridae,2024-6-2,453086,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
86,Pygoluciola qingyu,Lampyridae,2024-6-2,453087,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
87,Pygoluciola qingyu,Lampyridae,2024-6-2,453088,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
88,Pygoluciola qingyu,Lampyridae,2024-6-2,453089,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
89,Luciola nr. laticollis,Lampyridae,2024-6-2,453090,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
90,Luciola nr. laticollis,Lampyridae,2024-6-2,453091,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
91,Luciola nr. laticollis,Lampyridae,2024-5-17,453092,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
92,Luciola nr. laticollis,Lampyridae,2024-5-17,453093,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
93,Luciola nr. laticollis,Lampyridae,2024-5-17,453094,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
94,Luciola nr. laticollis,Lampyridae,2024-5-17,453095,1223,0.037488470801230786,8.771986484649346e-05,"[[[114.125700596, 22.436391555, 0], [114.125703905, 22.427361089, 0], [114.135417358, 22.427363872, 0], [114.135414679, 22.436394339, 0], [114.125700596, 22.436391555, 0]]]"
95,Pygoluciola qingyu,Lampyridae,2024-3-15,453096,1368,0.03748601101523205,8.770877377666338e-05,"[[[114.174271351, 22.418338683, 0], [114.174271517, 22.409308193, 0], [114.183983719, 22.409308056, 0], [114.183984181, 22.418338545, 0], [114.174271351, 22.418338683, 0]]]"
